model,prosocial,cond_id,condition,m,q,R,u,e,o,m_lo,m_hi,q_lo,q_hi,R_lo,R_hi,u_lo,u_hi,e_lo,e_hi,m_hw,q_hw,R_hw,u_hw,e_hw,o_hw,full_horizon,below_horizon,n_parent_runs,total_runs
gemma-4-31b-it,0,2,code-law,12.0,1.0,329.06666666666666,0.5701333333333333,0.9977333333333332,0.03333333333333333,12.0,12.0,1.0,1.0,311.1333333333333,352.59999999999997,0.5367000000000001,0.6129666666666667,0.9960666666666667,0.9994666666666667,0.0,0.0,20.733333333333338,0.03813333333333332,0.0016999999999999977,0.024999999999999998,15,0,3,15
gemma-4-31b-it,0,1,nl,12.0,1.0,441.5333333333333,0.8733,0.8720666666666667,0.3111,12.0,12.0,1.0,1.0,374.93333333333334,512.0,0.7673,0.9602666666666666,0.8022,0.9414333333333333,0.0,0.0,68.53333333333332,0.09648333333333332,0.06961666666666666,0.12498333333333334,15,0,3,15
gemma-4-31b-it,1,2,code-law,12.0,1.0,316.53333333333336,0.5570333333333334,0.9970333333333333,0.049999999999999996,12.0,12.0,1.0,1.0,288.8666666666667,344.23333333333335,0.4980666666666667,0.6264,0.9951,0.9990666666666667,0.0,0.0,27.683333333333337,0.06416666666666665,0.001983333333333337,0.016666666666666666,15,0,3,15
gemma-4-31b-it,1,1,nl,11.466666666666667,0.9555333333333333,433.26666666666665,0.8671333333333333,0.8341666666666666,0.3166333333333333,10.4,12.0,0.8666666666666667,1.0,385.59999999999997,490.01,0.7740666666666667,0.9530333333333334,0.77,0.9152333333333335,0.8000000000000002,0.06666666666666665,52.205000000000005,0.08948333333333335,0.0726166666666667,0.11388333333333334,13,2,3,15
gemma-4-31b-it,2,2,code-law,12.0,1.0,337.8,0.5790333333333333,0.9957666666666666,0.027766666666666665,12.0,12.0,1.0,1.0,273.6816666666667,421.3333333333333,0.46349999999999997,0.7194666666666668,0.9942666666666667,0.9972,0.0,0.0,73.82583333333334,0.12798333333333337,0.0014666666666666717,0.016666666666666666,15,0,3,15
gemma-4-31b-it,2,1,nl,12.0,1.0,457.8666666666666,0.8264,0.9319000000000001,0.18336666666666668,12.0,12.0,1.0,1.0,400.92333333333335,509.5416666666667,0.7002,0.9369999999999999,0.8474666666666667,0.9890333333333333,0.0,0.0,54.30916666666666,0.11839999999999999,0.07078333333333331,0.16111666666666666,15,0,3,15
gemma-4-31b-it,3,2,code-law,12.0,1.0,348.5333333333333,0.6053666666666667,0.9959000000000001,0.049999999999999996,12.0,12.0,1.0,1.0,312.46666666666664,388.65000000000003,0.5444666666666667,0.6706333333333333,0.9940000000000001,0.9975,0.0,0.0,38.09166666666667,0.06308333333333334,0.0017500000000000109,0.036116666666666665,15,0,3,15
gemma-4-31b-it,3,1,nl,12.0,1.0,472.73333333333335,0.8951000000000001,0.9020666666666667,0.20000000000000004,12.0,12.0,1.0,1.0,412.4666666666667,513.1999999999999,0.7628666666666666,0.9732666666666666,0.8082333333333334,0.9692333333333334,0.0,0.0,50.36666666666667,0.1052,0.0805,0.11393333333333333,15,0,3,15
gemma-4-31b-it,4,2,code-law,12.0,1.0,332.06666666666666,0.5767333333333333,0.9979333333333334,0.061099999999999995,12.0,12.0,1.0,1.0,309.1333333333333,356.5333333333333,0.5340333333333334,0.625,0.9964333333333334,0.9994333333333333,0.0,0.0,23.700000000000006,0.04548333333333334,0.0015000000000000013,0.016666666666666666,15,0,3,15
gemma-4-31b-it,4,1,nl,12.0,1.0,457.0,0.8689,0.8867666666666666,0.2722333333333333,12.0,12.0,1.0,1.0,377.0,537.0,0.7322666666666667,0.9737666666666667,0.7787333333333333,0.9793333333333333,0.0,0.0,80.00000000000001,0.12075000000000001,0.10029999999999999,0.18331666666666668,15,0,3,15
gemma-4-31b-it,5,2,code-law,12.0,1.0,334.0,0.5719666666666666,0.9955333333333334,0.0389,12.0,12.0,1.0,1.0,297.1333333333333,367.26666666666665,0.5141666666666667,0.6278,0.9946333333333334,0.9965333333333334,0.0,0.0,35.06666666666667,0.0568166666666667,0.0009500000000000064,0.016666666666666666,15,0,3,15
gemma-4-31b-it,5,1,nl,12.0,1.0,494.59999999999997,0.9179666666666666,0.9851333333333333,0.11666666666666665,12.0,12.0,1.0,1.0,460.8666666666666,533.3333333333334,0.8348999999999999,0.9978000000000001,0.9710666666666666,0.9957333333333334,0.0,0.0,36.23333333333333,0.08145000000000002,0.012333333333333326,0.06110000000000001,15,0,3,15
gpt-4o,0,0,no-contract,4.933333333333334,0.4111,147.73333333333332,0.8649666666666667,0.8986999999999999,0.7389,1.4000000000000001,9.200000000000001,0.11663333333333332,0.7666333333333334,104.26666666666667,209.20000000000002,0.7052999999999999,1.0,0.8772333333333333,0.9224666666666668,3.9,0.325,52.46666666666666,0.14735,0.022616666666666674,0.2916666666666667,5,10,3,15
gpt-4o,0,1,nl,3.2,0.2667,121.0,0.8951,0.9387,0.85,1.0,7.6,0.0833,0.6333,100.0,163.0,0.6853,1.0,0.9208,0.9608,3.3,0.27499999999999997,31.5,0.15735,0.020000000000000018,0.22499999999999998,1,4,1,5
gpt-4o,0,2,code-law,4.866666666666666,0.40556666666666663,139.4,0.8307333333333333,0.9348666666666666,0.6944333333333333,1.2666666666666666,9.266666666666667,0.09443333333333333,0.7722000000000001,101.26666666666667,185.20000000000002,0.6252,1.0,0.8967999999999999,0.9741666666666667,4.0,0.33888333333333337,41.96666666666667,0.1874,0.03868333333333335,0.33610000000000007,5,10,3,15
gpt-4o,0,1,nl,1.8,0.15,106.2,0.9605,0.9517,1.0,1.0,3.0,0.0833,0.25,100.0,112.6,0.8815,1.0,0.9139,0.9872,1.0,0.08335000000000001,6.299999999999997,0.05925,0.03664999999999996,0.0,0,10,2,10
gpt-4o,1,0,no-contract,7.933333333333334,0.6611333333333334,159.33333333333334,0.6983666666666667,0.8913666666666668,0.5444666666666667,3.533333333333333,12.0,0.2944333333333333,1.0,122.77666666666669,193.20000000000002,0.45566666666666666,0.9146333333333333,0.8503666666666666,0.9286666666666666,4.233333333333333,0.3527833333333333,35.211666666666666,0.22948333333333334,0.03915,0.31666666666666665,9,6,3,15
gpt-4o,1,1,nl,6.8,0.5667,158.6,0.8778,0.8929,0.5,2.8,10.8,0.2333,0.9,104.8,219.4,0.6938,1.0,0.836,0.9497,4.0,0.33335000000000004,57.300000000000004,0.1531,0.05685000000000001,0.26670000000000005,2,3,1,5
gpt-4o,1,2,code-law,10.0,0.8333,147.53333333333333,0.48563333333333336,0.9100666666666667,0.2444666666666667,6.0,12.0,0.5,1.0,116.8,187.20166666666668,0.3006333333333333,0.7531666666666667,0.8855333333333334,0.9427,3.0,0.25,35.200833333333335,0.22626666666666664,0.02858333333333335,0.22499999999999998,12,3,3,15
gpt-4o,1,1,nl,10.2,0.85,243.4,0.5914,0.8979,0.2833,6.6,12.0,0.55,1.0,157.4,319.44,0.43184999999999996,0.74865,0.8522,0.9334,2.7,0.22499999999999998,81.02,0.15840000000000004,0.040600000000000025,0.28335,8,2,2,10
gpt-4o,2,0,no-contract,9.6,0.7999999999999999,206.19999999999996,0.6294000000000001,0.8607999999999999,0.38886666666666664,5.866666666666667,12.0,0.48890000000000006,1.0,154.0533333333333,252.74666666666667,0.4724333333333333,0.8151333333333334,0.8073333333333332,0.9150999999999999,3.0666666666666664,0.25555,49.34666666666667,0.17135,0.05388333333333334,0.25833333333333336,11,4,3,15
gpt-4o,2,1,nl,8.0,0.6667,173.6,0.7893,0.8535,0.5167,4.0,12.0,0.3333,1.0,115.6,231.6,0.5676,1.0,0.8012,0.8931,4.0,0.33335000000000004,58.0,0.2162,0.04594999999999999,0.33335,3,2,1,5
