model,prosocial,cond_id,condition,m,q,R,u,e,o,m_lo,m_hi,q_lo,q_hi,R_lo,R_hi,u_lo,u_hi,e_lo,e_hi,m_hw,q_hw,R_hw,u_hw,e_hw,o_hw,full_horizon,below_horizon,n_parent_runs,total_runs
gpt-5.4-mini,2,2,code-law,3.4,0.2833,120.0,0.8603,0.8206,0.8167,1.0,7.8,0.0833,0.65,100.0,154.0,0.581,1.0,0.7376,0.9082,3.4,0.28335,27.0,0.20950000000000002,0.08529999999999999,0.275,2,8,2,10
gpt-5.4-mini,2,2,nl,6.0,0.5,158.0,0.7614,0.9057,0.6333,2.0,10.0,0.1667,0.8333,104.2,227.0,0.5035,1.0,0.8754,0.9353,4.0,0.33330000000000004,61.4,0.24825000000000003,0.029950000000000032,0.36665000000000003,4,6,2,10
gpt-5.4-mini,3,0,no-contract,12.0,1.0,0.0,0.0,1.0,0.0,12.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,2,10
gpt-5.4-mini,3,2,code-law,7.8,0.65,135.0,0.5771,0.8804,0.45,3.4,12.0,0.2833,1.0,111.0,160.0,0.2806,0.8771,0.7964,0.9323,4.3,0.35835,24.5,0.29825,0.06795000000000001,0.36669999999999997,6,4,2,10
gpt-5.4-mini,3,2,nl,6.4,0.5333,152.8,0.652,0.8858,0.5833,2.2,10.4,0.1833,0.8667,108.4,200.8,0.429,0.875,0.8006,0.9379,4.1,0.3417,46.2,0.223,0.06864999999999999,0.36665,4,6,2,10
gpt-5.4-mini,4,0,no-contract,12.0,1.0,0.0,0.0,1.0,0.0,12.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,2,10
gpt-5.4-mini,4,2,code-law,8.0,0.6667,142.2,0.5815,0.8885,0.45,4.0,12.0,0.3333,1.0,112.8,184.4,0.2693,0.8938,0.8381,0.9399,4.0,0.33335000000000004,35.800000000000004,0.31225,0.0509,0.36669999999999997,6,4,2,10
gpt-5.4-mini,4,2,nl,5.6,0.4667,170.8,0.8145,0.8561,0.8056,2.2,9.6,0.1833,0.7667,107.0,252.8,0.5905,0.9642,0.7662,0.9236,3.6999999999999997,0.2917,72.9,0.18684999999999996,0.07869999999999999,0.24719999999999998,2,8,2,10
gpt-5.4-mini,5,0,no-contract,12.0,1.0,0.0,0.0,1.0,0.0,12.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,2,10
gpt-5.4-mini,5,2,code-law,10.0,0.8333,174.2,0.4768,0.9221,0.2667,6.0,12.0,0.5,1.0,142.8,208.2,0.3164,0.7372,0.8999,0.9433,3.0,0.25,32.69999999999999,0.21039999999999998,0.021699999999999997,0.3,8,2,2,10
